107.09.11,SX4,芽菜類-苜宿芽,104,台北二,50,50,50,50,81
107.09.11,SZ3,金針筍,104,台北二,115,18,18,37.4,10
107.09.11,T1,西瓜-大西瓜,104,台北二,22,13.6,11.7,14.9,10994
107.09.11,T5,西瓜-黃肉,104,台北二,10.5,7.7,6,7.9,18362
107.09.11,T7,西瓜-秀鈴,104,台北二,11.5,8.1,7,8.5,1036
107.09.11,V1,甜瓜-美濃,104,台北二,25.4,9.5,8,12.4,700
107.09.11,V2,甜瓜-溫室吊瓜,104,台北二,163.4,65.1,31.2,78,1557
107.09.11,W0,洋香瓜-其他,104,台北二,85,67.6,57.8,69.1,370
107.09.11,W1,洋香瓜-網狀紅肉,104,台北二,68.9,64.3,31.1,58.6,443
107.09.11,W2,洋香瓜-網狀綠肉,104,台北二,68,66.4,60,65.5,128
107.09.11,W9,洋香瓜-進口,104,台北二,184.1,82.6,33.3,93.1,3694
107.09.11,X2,蘋果-秋香,104,台北二,34.8,25.2,13.8,24.8,466
107.09.11,X3,蘋果-惠,104,台北二,45.5,23.4,15.7,26.3,296
107.09.11,X69,蘋果-富士(進口),104,台北二,117.6,44.3,27.7,55.6,21314
107.09.11,Y1,桃子-水蜜桃,104,台北二,150,76.5,30,81.9,21
107.09.11,Y19,水蜜桃-進口,104,台北二,130,130,121.7,128.3,60
107.09.11,Y39,甜桃-甜桃進口,104,台北二,79.4,66.7,61,68.1,4680
107.09.11,Y9,桃子-進口,104,台北二,199.5,147.1,125.6,153.3,2988
107.09.11,Z1,柿子-紅柿,104,台北二,23.8,16.2,8.6,16.2,9018
107.09.11,Z2,柿子-水柿,104,台北二,12,12,10.9,11.8,180
107.09.11,Z3,柿子-柿餅,104,台北二,30,30,30,30,72
107.09.11,Z4,柿子-甜柿,104,台北二,165.9,90,36.1,94.4,3119
107.09.11,Z9,柿子-進口,104,台北二,333.3,333.3,333.3,333.3,4
107.09.11,FA910,小可愛-紅,105,台北市場,0,0,0,0,0
107.09.11,FA985,美女撫子-綠石竹,105,台北市場,212,212,212,212,10
107.09.11,FB000,火鶴花-火鶴花,105,台北市場,13,10,8,10.1,145
107.09.11,FB100,火鶴花-紅色,105,台北市場,6,5,5,5.6,315
107.09.11,FB101,火鶴花-紅紅心,105,台北市場,6,6,6,6,20
107.09.11,FB105,火鶴花-紅綠邊,105,台北市場,17,13,11,13.6,92
